DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2017,83.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2018,86.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2019,79.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2020,85.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2021,73.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2022,69.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2023,70.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2014,81.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2015,80.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2016,84.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2017,84.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2018,81.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2019,81.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2020,83.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2021,81.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2022,80.7,i,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,European Union - 27 countries (from 2020),2023,82.2,bi,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2014,87.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2015,92.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2016,88.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2017,90.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2018,89.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2019,87.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2020,90.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2021,88.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2022,88.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Finland,2023,88.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2014,80.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2015,81.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2016,81.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2017,81.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2018,74.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2019,76.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2020,79.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2021,77.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2022,77.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,France,2023,79.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2014,95.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2015,92.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2016,96.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2017,95.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2018,91.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2019,92.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2020,94.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2021,92.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2022,90.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Croatia,2023,90.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2014,87.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2015,83.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2016,84.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2017,84.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2018,83.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2019,83.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2020,81.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2021,79.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2022,79.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Hungary,2023,80.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2014,83.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2015,83.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2016,85.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2017,83.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2018,82.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2019,84.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2020,84.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2021,83.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2022,82.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Ireland,2023,82.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2014,73.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2015,91.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2016,85.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2017,90.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2018,100.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2019,99.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2020,91.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2021,,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2022,,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Iceland,2023,,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2014,82.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2015,85.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2016,86.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2017,88.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2018,84.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2019,82.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2020,86.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2021,87.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2022,83.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Italy,2023,84.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2014,75.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2015,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2016,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2017,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2018,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2019,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2020,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2021,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2022,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Liechtenstein,2023,73.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2014,75.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2015,80.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2016,82.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2017,82.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2018,81.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2019,82.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2020,82.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2021,84.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2022,81.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Lithuania,2023,81.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2014,88.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2015,86.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2016,87.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2017,89.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2018,88.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2019,88.5,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2020,87.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2021,89.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2022,85.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Luxembourg,2023,87.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Latvia,2014,90.3,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Latvia,2015,82.2,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Latvia,2016,88.5,,
